"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-01","11.41"," 1510"," 1508","0.00","0.0",,"59","76","41","  180","  180","29.1","34.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-02","8.95"," 0040"," 0039","0.00","0.0",,"66","73","58","  190","  200","25.1","30.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-03","20.80"," 1815"," 0159","0.02","0.0",,"57","70","44","  300","  220","36.0","42.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-04","14.54"," 0232"," 0231","0.00","0.0",,"41","48","33","  320","  320","33.1","38.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-05","11.63"," 1529"," 1528","0.00","0.0",,"43","57","28","  170","  180","28.0","32.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-06","7.38"," 1737"," 1737","0.00","0.0",,"51","65","36","   20","   20","19.9","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-07","6.71"," 2257"," 2255","0.68","0.0",,"53","57","49","   90","   90","11.0","14.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-08","8.72"," 0332"," 0330","0.12","0.0",,"50","54","46","  120","  120","14.1","17.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-09","13.20"," 1641"," 1640","0.00","0.0",,"57","71","42","  250","  250","36.0","40.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-10","10.29"," 1535"," 1524","0.00","0.0",,"57","73","41","  230","  230","16.1","19.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-11","5.14"," 0708"," 2347","0.00","0.0",,"57","72","42","  320","  180","13.0","14.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-12","14.99"," 1032"," 1545","0.00","0.0",,"68","82","54","  200","  200","29.1","32.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-13","14.09"," 1340"," 1344","0.00","0.0",,"56","67","45","   30","   10","25.9","32.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-14","7.61"," 1521"," 1503","0.00","0.0",,"49","60","37","  150","  130","14.1","17.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-15","14.09"," 1337"," 1337","0.00","0.0",,"57","69","45","  180","  190","28.0","32.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-16","12.30"," 1257"," 1257","0.00","0.0",,"66","75","57","  210","  210","25.1","28.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-17","13.20"," 1031"," 1029","0.00","0.0",,"67","78","56","  220","  230","23.0","28.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-18","7.38"," 1516"," 1513","0.00","0.0",,"57","64","49","  330","  320","14.1","16.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-19","8.05"," 1612"," 1621","0.00","0.0",,"59","76","41","  300","  320","21.9","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-20","11.41"," 0403"," 0405","0.00","0.0",,"47","56","37","   20","  360","21.9","25.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-21","11.86"," 1927"," 2328","0.00","0.0",,"47","60","34","  150","  170","25.1","31.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-22","12.75"," 0011"," 0010","0.00","0.0",,"62","70","53","  170","  170","23.0","28.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-23","9.40"," 1955"," 1954","0.00","0.0",,"54","63","44","   10","   10","25.9","34.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-24","6.93"," 0047"," 0047","0.00","0.0",,"39","48","29","   10","   10","21.9","25.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-25","10.74"," 1416"," 1416","0.00","0.0",,"46","55","36","   20","   30","23.9","28.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-26","10.96"," 2325"," 2300","0.00","0.0",,"37","40","34","   70","   70","17.0","21.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-27","9.40"," 0324"," 0327","0.77","0.0",,"33","35","30","  100","  100","19.9","23.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-28","9.62"," 1624"," 2015","0.00","0.0",,"31","32","30","  340","  360","14.1","15.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-29","8.05"," 0924"," 0923","0.00","0.0",,"31","34","28","  340","  340","17.0","21.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-30","4.47"," 2218"," 2216","0.00","0.0",,"36","49","23","  150","  150","8.9","10.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-01-31","7.61"," 1341"," 1311","0.00","0.0",,"42","54","30","  170","  150","17.0","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-02-01","7.16"," 2309"," 2334","0.00","0.0",,"49","57","39","   20","   10","16.1","19.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-02-02","7.38"," 0024"," 0035","0.00","0.0",,"44","55","32","   10","   10","15.0","17.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-02-03","9.40"," 2317"," 2314","0.00","0.0",,"54","72","35","   10","  360","17.0","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2000-02-04","13.65"," 1611"," 0944","0.00","0.0",,"47","56","38","  330","   10","23.9","30.0"
